pool_id,category,max_potential_return,buy_volume_10s_at_first,holder_delta_10s_at_first,marketcap_change_10s_at_first,marketcap_change_30s_at_first,marketcap_at_10s,percent_of_max_return_at_10s,potential_return_at_10s,marketcap_at_20s,percent_of_max_return_at_20s,potential_return_at_20s,marketcap_at_30s,percent_of_max_return_at_30s,potential_return_at_30s,marketcap_at_60s,percent_of_max_return_at_60s,potential_return_at_60s,marketcap_at_120s,percent_of_max_return_at_120s,potential_return_at_120s,marketcap_at_180s,percent_of_max_return_at_180s,potential_return_at_180s,big_buy_5s_at_first,marketcap_change_5s_at_first,large_buy_5s_at_first,net_volume_5s_at_first,holders_count_at_first,super_buy_5s_at_first,holder_delta_5s_at_first,buy_volume_5s_at_first
12H7zN3gXRfUeu2fCQjooPAofbBL2wz7X7wKoS44oJkX,do_not_buy,1.772778765095648,94.140838934,77,7.84414119,7.84414119,51943.5000465,100.0,1.772778765095648,70098.24819082,74.10099594086928,1.3136467207641187,74917.243927,69.33450474648292,1.2291473770298833,84853.31034024,61.21564360685504,1.0852179307789578,75365.21461825,68.92238058315256,1.2218413273765347,72055.1534165,72.08852883325537,1.2779701312258047,0,24.069292,2,-1.894687972,393,0,5,15.502877052
13gx6DyGyAJ84R7MC62Y7HaZJys7W2XRdcAECQGLbM8c,do_not_buy,1.4054237069170814,12.7200491,36,-3.20763788,-3.20763788,45437.88853558,100.0,1.4054237069170814,43873.06708778,103.56670174134202,1.4555509787449266,40284.35739646,112.79288406763284,1.5852179324020115,40023.96773062,113.52669690670902,1.5955311120067897,37978.91445577,119.63977693068787,1.681445787886601,43051.91779811,105.54207770408487,1.4833133808260561,0,-8.90211418,1,2.941445239,226,0,3,3.998
13i8NqL286BQt4rwyWA8bojd9EfiTnNmhcF18eivaDUm,definitely_buy,7.7814509246189845,53.742839422,22,-24.49358251,-24.49358251,42781.01938473,100.0,7.7814509246189845,59430.09594264,71.98544559985375,5.601512122220916,64421.01786419,66.40848096333927,5.167543355947186,40719.23830898,105.06340776835039,8.175457515226515,49616.73263394,86.22296776443906,6.709397922339872,20187.62063825,211.91709588435458,16.49022481711881,0,2.53318934,0,-2.844639258,207,0,14,3.04075
13osF1EiaWM9dK9gdKcJ9gGurcr546LY3h2M9ZBKP5HY,do_not_buy,1.7178884880769063,0.0,52,-14.80878123,-14.80878123,40424.93425571,100.0,1.7178884880769063,41176.7145586,98.17425865334616,1.6865242876606796,39773.07402347,101.63894858077941,1.7460437970716156,31310.10942148,129.11144356454042,2.2179906257851516,20489.2025306,197.29871963214086,3.389371991683679,10030.79066991,403.0084525338092,6.923235812055191,0,-25.81564374,0,0.0,117,0,5,0.0
13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,do_not_buy,1.8969314049500057,0.0,0,-20.5713196,12.69298665,63163.22065186,100.0,1.8969314049500057,46625.99353372,135.46782784624256,2.569731770018984,57618.80460884,109.62258082349969,2.079465162557668,94040.1799456,67.16620564571272,1.2740968484068285,74210.00110441,85.1141621235018,1.6145572713807683,25828.02983186,244.55299557516162,4.639002574811238,0,-21.06102361,0,0.0,703,0,0,0.0
23kMSboY7eRBVkNr1fmHEBu1kJ7mwsEw1sikJ3biLdKn,do_not_buy,2.7255349268742055,0.0,83,32.70959909,32.70959909,63128.92467902,100.0,2.7255349268742055,69395.06263213,90.97034037374185,2.4794283999826807,76062.34420036,82.99629119072193,2.262092904413346,84678.14635862,74.55161383866744,2.0319302737212643,93588.07739712,67.4540245240284,1.838482997984686,105588.96108861,59.78742856087235,1.6295272473065399,0,1.98062632,0,0.0,101,0,10,0.0
24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,do_not_buy,1.045329066040129,25.198784336,60,29.31809328,29.31809328,71334.18577999,100.0,1.045329066040129,59595.33208063,119.69760598611619,1.251233866727062,64201.00720861,111.11069573753257,1.1614723980238386,49113.44826948,145.24369249861522,1.5182745342779715,18248.40036198,390.90651435186976,4.086259415564423,13902.91263673,513.0880675430035,5.363458704410625,0,28.71347616,2,10.06535209,436,0,8,14.13488033
25t4s9PcS3rZcsRvEKFjY8xvZF1ZxWYFhfdXQoUtdBEe,do_not_buy,1.4372452525368198,16.690452441,0,-2.31866176,-14.39443654,41215.9678655,100.0,1.4372452525368198,36685.72866917,112.3487780144248,1.6147274782954508,39901.56881086,103.29410370020906,1.4845896015817142,3354.32430232,1228.7412948412054,17.660025926064673,3002.21660009,1372.8512414548782,19.73123929220303,2879.69072707,1431.2636936340741,20.570769488038863,0,-23.05434375,0,-7.14743338,1051,0,0,16.690452441
26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,definitely_buy,27.10462903366953,62.587927069,29,66.73603724,66.73603724,87272.8295863,100.0,27.10462903366953,135534.94475334,64.39138610719752,17.453046333993704,167343.85130063,52.151799368783536,14.135551753292383,114616.46457198,76.14336204855805,20.63837581702557,167062.90077885,52.23950331248448,14.159323581880424,1703479.48520154,5.12320989741621,1.3886270373109049,0,22.30290139,0,0.472015444,110,0,2,0.594
26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,do_not_buy,1.1295858347952166,34.764584,31,-7.77754159,-7.77754159,44217.43817729,100.0,1.1295858347952166,37052.5243184,119.33718144901657,1.3480158972919563,44083.39608597,100.30406480267217,1.1330205077347995,29832.92509533,148.21690476543893,1.6742371610023146,23090.88892343,191.4930097490668,2.1630779127484816,28976.9341696,152.59529499735334,1.723694836854077,0,-6.78595895,0,-4.352644911,495,0,4,13.396634
